Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
06/12/1988,09:23,"Posadas, Argentina",Austral Lineas Aeras (Argentina),,Resistencia - Posadas,McDonnell Douglas MD-81,N1003G,48050/989,22,22,0,The airliner crashed 3 miles short of the runway in poor visibility. Crew's overconfidence and  incorrect in-flight planning.
06/18/1988,,Central Mozambique,Military - Mozambique Air Force,,,Mil Mi-8 (helicopter),,,25,21,0,
06/26/1988,14:45,"Habsheim, France",Air France,296Q,Basel - Basel,Airbus A320-111,F-GFKC,009,136,3,0,"The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatigo-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby."
07/03/1988,10:55,"Over the Persian Gulf, near Bandar Abbas, Iran",Iran Air,655,Bandar Abbas - Dubai,Airbus A300B2-203,EP-IBU,186,290,290,0,"The civilian Iranian airliner was shot down by the U.S. Navy vessel U.S.S. Vincennes with surface-to-air missiles. The Vincennes was protecting other civilian ships in the area from Iranian gunboats. The Vincennes responded to hostile action taking place against a ship by Iranian gun boats. However, orders to the captain were to send a helicopter to investigate but maintain position. In fact, the ship headed towards the hostilities and penetrated 2nm inside Iranian territorial waters and after the helicopter was fired upon, engaged the enemy boats. The ill-fated airliner was delayed in leaving Bandar Abbas because of a problem with the passport of a passenger. Soon after taking off the target appeared on the radar of the Vincennes. Because the plane was late and confusion of time zones, the crew was not expecting an airliner in the area. When the target was first identified, it squawked both 2 (military) and 3 (civilian). The reason for this was the radar tracker ball was left in the vicinity of the Bandar Abbas airport and the radar was picking up both the airliner and a military F-14 jet fighter at the same time. Playing it safe, the plane was misidentified as a F-14 Iranian fighter. The aircraft did not respond to 10 radio challenges from the Vincennes. However, 7 were on military frequencies which the airliner could not pick up. Three were on the civil emergency frequency addressed to the so called military F-14. When the plane was nearing 10 miles from the ship, it was reported to the captain that the aircraft was descending. At that time the surface-to-air missiles were fired destroying the aircraft. At the inquiry computer data showed that the plane was never descending and actually was ascending at a steady rate. Incredibly, a military investigation concluded that although the U.S. government regretted the loss of human life, the captain and crew were not at fault and acted properly in shooting down the airliner."
07/06/1988,,"Barranquilla, Colombia",Lineas Aéreas Suramericanas,,,Canadair CL-44J,HK-3148,39,8,8,0,Shortly after taking off the crew experienced failure of the No. 4 engine and a fire. While attemping to return to the airport control was lost and the plane crashed.
07/20/1988,19:25,"Golden Meadow, Louisiana",TACA,,El Salvador - New Orleans,Douglas C-118A,N33VX,44615/541,3,3,0,The cargo plane ran out of fuel and crashed into a dirt bank . Fuel starvaion. Open drain valve inside the No. 4 engine led to the loss of fuel.
07/21/1988,,"Near Lagos, Nigeria",Angola Air Charter,,"Oostende, Belgium - Lagos, Nigeria",Boeing 707-328C,D2-TOV,18881/436,6,6,0,Crashed on approach.
07/30/1988,15:45,"Liscomb Bay, Alaska",Air Taxi - Temesco Helicopters Inc.,,"Ketichikan, AK - Security Cove, AK",Cessna CE185,N70168,18502033,3,3,0,"While in a narrow, tree-lined area just above a small cove, the pilot lost control of the aircraft while maneuvering, in preparation for a landing on a lake. The aircraft struck trees in-flight while in an unusual attitude and then struck the water. Poor visibility due to heavy rain existed at the time of the accident. Inadvertent stall."
08/02/1988,,"Sofia, Bulgaria",Balkan Bulgarian Airlines,,Sofia  - Varna,Yakovlev YAK-40,LZ-DOK,9620247,37,28,0,Crashed on takeoff from Sophia airport en route to Varna. In-flight fire. Possible crew error.
08/02/1988,17:42,"Reykjavik, Iceland",Geoterrex,,"Narsarsuaq, Greenland - Reykjavik, Iceland",CASA 212 Aviocar 200,C-GILU,245,3,3,0,"The plane, on a positioning flight entered a steep right turn, nosed down and crashd short of the runway. Loss of control by the crew because of large fluctuations in the power output of the right engine caused by the shift of an incorrectly installed speeder spring in the right propeller governor."
08/15/1988,,Northern Afghanistan,Military - Afghan Republican Air Force,,,Antonov AN-22,,,39,39,0,Shot down by a surface-to-air missile.
08/17/1988,16:30,"Bahawalpur, Pakistan",Military - Pakistan Air Force,,Bahawalpur - Islamabad,Lockheed C-130B,23494,3708,30,30,0,"Crashed shortly after taking off from Bahawalpur 60 miles near the Indian border. Act of sabotage. Detonation of a low level explosive device or incapacitating gas. U.S. Ambassador to Pakistan, Arnold Raphel, 45, and Muhammad Zia ul-Haq 64, killed. A recent report states that the accident was caused by the failure of the elevator control system due to a mechanical failure."
08/19/1988,,"Duncan Town, Bahamas",MD Air Services,,,Partenavia P-68C,N39272,283,6,6,0,Crashed into the sea. Failure of the wing due to overstressing beyond the design limits.
08/23/1988,,"M'Bamu Island, Zaïre",Kinair Cargo,,,Douglas DC-4,9Q-CBG,10452,5,5,0,
08/26/1988,23:20,"Irkutsk, Russia",Aeroflot,,Kirensk - Irkutsk,Let 410MU,CCCP-67235,770801,4,4,0,"The crew failed to set the altimeters to the proper setting while landing. The plane descended until it contacted trees, broke up and caught fire. Crew fatigue was a factor."
08/28/1988,16:00,"Kaiserslautern, West Germany",Military - Italian Air Force,,Air show,Aermacchi MB-339PAN (3 aircraft),,,3,3,70,Seventy people were killed on the ground when three out of ten jet aircraft of the Italian air team 'Frecce Tricolori' crashed while performing at an air show at the Ramstein Air Base.
08/31/1988,09:19,"Kowloon Bay, Hong Kong",CAAC,301,Guangzhou - Hong Kong,Hawker Siddeley HS-121 Trident 2E,B-2218,2159,89,7,0,The right outboard flap of the plane hit the approach lights of Runway 31. The right main landing gear collapsed and the aircraft ran off the runway into the harbor.
08/31/1988,,"Cerro de la Calera, Mexico",Transporte Aereo Federal,,Uruapan - Lazro,Embraer 110P1 Bandeirante,XC-COX,110-192,20,20,0,The plane disappeared after taking off from Uruapan. Wreckage was found in the western Sierre Madre mountains.
08/31/1988,,"Merida, Mexico",Aerocaribe,,,Convair CV-240,XA-HUL,229,20,1,0,Crashed while taking off.
08/31/1988,09:01,"Dallas, Texas",Delta Air Lines,1141,"Dallas/Fort Worth, TX - Salt Lake City, UT",Boeing B-727-232 Adv,N473DA,20750/992,108,14,0,"The aircraft stalled and crashed during takeoff, hitting a ILS localizer antenna, 1,000 feet beyond the end of the runway. Crew error. Improperly set flaps and slats. Failure of the takeoff safety warning system."
09/05/1988,13:45,"Sitka, Alaska",Wrangell Air Service,,Sitka - Petersburg,Britten-Norman BN-2A Islander,N111VA,215,10,1,0,"The pilot encountered low ceilings, rain and fog while attempting to fly through a narrow mountain pass and successfully reversed course. He then flew into a small canyon off the main pass that terminated in a small glacier-covered bowl surrounded by steep rock walls. When it became apparent during a turn to reverse course that there was insufficient space to complete the maneuver before collision with a rock wall, the pilot retarded the throttles and crash landed on a glacier. Improper in-flight planning. Blind box canyon. Weight and balance exceeded. Rain fog."
09/09/1988,11:38,"Bangkok, Thailand",Hang Khong (Vietnam),831,Hanoi - Bangkok,Tupolev TU-134A,VN-A102,60925,90,76,0,The aircraft crashed during approach in heavy rain and thunderstorms short of the runway. The crew descended below minimum altitude while over the outer marker. The plane lost height due to a microburst induced windshear when passing under a thunderstorm on final.
09/12/1988,14:30,"Lago Agrio, Ecuador",TAME Ecuador,,Lago Agrio - Quito,Lockheed L-188A Electra,HC-AZY,1052,7,7,0,The positioning flight took off with one bad engine. Another engine failed and the plane crashed and burst into flames.
09/15/1988,10:15,"Cheney, Ontario, Canada",Bradley Air Services,,Montreal - Ottawa,BAe-748,C-GFFA,1789,2,2,0,Struck the ground short of the runway while attempting to land.
09/15/1988,13:05,"Bahar Dar, Ethiopia",Ethiopian Airlines,604,Bahar Dar - Asmara,Boeing B-737-230,ET-AJA,23914/1456,104,35,0,"During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds."
09/19/1988,20:30,"Near Miram, Pakistan",Military - Afghan Republican Air Force,,,Antonov AN-26,,,34,34,0,Accidentally shot down by Pakistani anti-aircraft fire after straying out of Afghan air space.
10/11/1988,14:20,"Wurtsmith AFB, Michigan",Military - U.S. Air Force,,Sawyer AFB - Wurtsmith AFB,Boeing KC-135A,60-0317,18092/431,17,6,0,Crashed after returning from Sawyer AFB in Michigan.
10/16/1988,10:17,"Sedona, Arizona",Air Taxi - Northern Arizona Aircraft Inc.,,"Sedona, AZ - Sedona, AZ",Piper PA-32-300,N4113R,32-40432,5,5,0,The pilot & 4 fare-paying passengers were en route to the Grand Canyon national park for aerial sightseeing. An internal failure of the left magneto resulted in a total loss of engine power. The aircraft collided with terrain & was destroyed by ground fire.
10/17/1988,00:30,"Rome, Italy",Uganda Airlines,775,London - Rome,Boeing B-707-338C,5X-UBC,19630/746,52,33,0,"Undershot runway and hit  a building while performing a third landing attempt in fog. The crew's lack of adequate preparation in the procedure for a non-precision approach, especially in crew coordination, altitude callouts and their continued descent beyond MDA without having located the runway visual markings. Crew fatigue."
10/19/1988,08:30,"Gauhati, India",Vayudoot,,Silchar - Gauhati,Fokker F-27 Friendship 100,VT-DMC,10173,34,34,0,Crashed short of the runway. Controlled flight into terrain.
10/19/1988,07:00,"Near Ahmedabad, India",Indian Airlines,113,Bombay - Ahmadabad,Boeing B-737-2A8,VT-EAH,20481/271,129,124,0,"The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames."
10/25/1988,10:53,"Juliaca, Peru",Aero Peru,,Juliaca - Arequipa,Fokker F-28 Fellowship 1000,OB-R-1020,11059,69,12,0,Crashed shortly after taking off from Manco Capaairport at Juliaca. The pilot tried to return to the runway but crashed in a high nose-up attitude into a pasture. The plane broke in two and burst into flames.
11/02/1988,,"Near Rzeszow, Poland",LOT Polish Airlines,703,Warszawa - Rzeszow,Antonov AN-24B,SP-LTD,67302209,29,1,0,"The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire."
11/13/1988,20:53,"Jacksonville, Florida",Air Taxi - TAJ FBO Co.,,"Brunswick, GA - Jacksonville, FL",Piper PA-28-181,N8342L,288190170,4,4,0,During a night landing the aircraft collided with trees and crashed. Improper use of decisiion height. Improper IFR procedure.
11/14/1988,07:14,"Ilmajoki, Finland",Wasa Wings,,Helsink - Ilmajoki,Embraer 110P1 Bandeirante,OH-EBA,110226,12,6,0,"The aircraft struck trees2,400 feet next to the runway while approaching in deteriorating weather conditions. A power failure caused all light to go out at the airport."
11/17/1988,,"Toussus, France",JC Air,,,Cessna 441 Conquest,F-GFHR,,7,7,0,Crashed on take off.
11/18/1988,06:30,"Montluçon, France",Air Littoral,,Montluçon - Paris,Swearingen SA-226TC Metro II,F-GCPG,TC-334E,4,4,0,While taking off the nose pitched down the plane descended and crashed to the ground and caught fire. Inadvertent activation of the Stall Avoidance System resulting in the stick pusher activation at a crucial altitude.
11/30/1988,07:20,"Hamada al Hambra, Libya",Aero Club Libya,,Hamada al Hambra - Tripoli,de Havilland Canada DHC-6 Twin Otter 300,5A-DDD,670,14,14,0,While attempting to land in mist and poor visibility the aircraft hit a  pylon and burned.
12/07/1988,19:33,"Kodinsk, Russia",Aeroflot,,,Let 410UVP,CCCP-67127,790323,14,6,0,The aircraft struck the ground while the crew was in the base leg turn. Crew procedural errors. The radio altimeter warning was not set and the outer marker was not used during the approach.
12/08/1988,,"Bîr Mogreïn, Mauritania",T & G Aviation,,Dakar - Agadir,Douglas DC-7CF,N284,45203/776,5,5,0,Accidently struck by a surface-to-air missile by the Polisario.
12/10/1988,20:00,Afghanistan,Military - Afghan Republican Air Force,,Kabul - Khowst,Antonov AN-32,,,25,25,0,Shot down by a Pakistani jet fighter while en route.
12/11/1988,,"Leninakan, Armenia, USSR",Military - Russian Air Force / Military - Russian Air Force,,,Ilyushin IL-76 / Mi-8 (helicopter),CCCP-86732,083413388,83,77,0,A midair collision occurred between a soviet transport on an earthquake relief mission and a military Mi-8 helicopter.  As the transport approached for a landing in the darkness it struck the helicocopter.  Seventy-seven of 78 aboard the transport were killed. All five aboard the Mi-8 survived.
12/14/1988,21:50,"Near Luxor, Egypt",GAS Air,,Dar-es-Salaam - Cairo,Boeing B-707-321C,5N-AYJ,19168/508,8,8,5,After 2 missed approaches at Cairo the plane diverted to Luxor but crashed into a residential neighborhood while attempting to land. Forced landing. Fuel exhaustion.
12/17/1988,,"Near Leonora, WA, Australia",Broughton Air Servces,,,Mitsubish MU-2 uise,VH-BBA,782SA,10,10,0,
12/21/1988,19:03,"Lockerbie, Scotland",Pan American World Airways,103,London - New York City,Boeing B-747-121A,N739PA,19646/15,259,259,11,"The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named 'Clipper Maid of the Seas.'"
03/15/1989,07:25,"West Lafayette, Indiana",Mid PacifiAir,,Terre Haute - Lafayette,NAMC YS-11A-300F,N128MP,2139,2,2,0,"While landing the cargo plane pitched down and crashed short of the runway. A loss of control due to the improper in-flight decisions by the crew and the undetected accumulation of ice on the leading edge of the horizontal stabilizer, during flight in a forward centre of gravity condition and exacerbated by the extension of full landing flaps."
01/08/1989,20:25,"Leicestershire, England",British Midland Airways,92,London - Belfast,Boeing B-737-4Y0,G-OBME,23867/1603,126,47,0,"While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach."
01/12/1989,04:45,"Dayton, Ohio",Bradley Air Services,,"Dayton, OH - Montreal, Canada",Hawker Siddeley  Avro 748-215,C-GDOV,1582,2,2,0,"After gaining altitude the cargo plane descended until it impacted trees. Improper IFR procedure by the first officer during takeoff, his lack of instrument scan, his failure to maintain a positive rate of climb or to identify the resultant descent, and the captain's inadequate supervision of the flight. Contributing factors were: dark night, low ceiling, drizzle, the first officer's lack of total experience in the type of operation, and possible spatial disorientation of the first officer."
01/17/1989,,"Near La Paz, Bolivia",Aerolineas La Paz,,La Paz - Apolo,Douglas DC-3(C-47A-DL),CP-1418,19344,5,5,0,The plane went missing en route.
01/29/1989,,"Fairbanks, Alaska",Military - Canadian Army,,Exercise,Lockheed CC-130E Hercules,130318,4124,11,11,0,Crashed about 500 ft. short of the runway.
01/31/1989,12:10,"Near Abilene, Texas",Military - U.S. Air Force,,,Boeing KC-135A,63-7990,18607,19,19,0,Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.
02/03/1989,07:41,"Rangoon, Myanmar",Burma Airways,,Rangoon - Kentung,Fokker F-27 Friendship 600,XY-AEK,10325,29,26,0,The aircraft entered a fog bank after taking off from Rangoon and hit a tree and caught fire.
02/06/1989,18:25,"Marseille, France",RAM,3132,Marseille - Paris,Vickers 952F Vanguard,F-GEJE,730,3,3,0,After a second takeoff attempt the cargo plane banked to the right until it crashed into the water.
02/08/1989,14:08,"Santa Maria, Azores, Portugal",Independent Air Inc.,1851,Bergamo - Orio al Serio - Santa Maria,Boeing B-707-331B,N7231T,19572/687,144,144,0,"The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was clear to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value."
02/09/1989,,"Bucharest, Romania",Tarom,,Training,Tupolev 154B,YR-TPJ,80A-408,5,5,0,Crashed after experiencing engine failure on takeoff.
02/19/1989,06:36,"Near Kuala Lumpur, Malaysia",Flying Tiger Line,,Singapore - Kuala Lumpur,Boeing 747-249F,N807FT,21828/408,4,4,0,"The cargo plane descended below minimums and impacted trees and a hill. Non-standard phraseology used by Kuala Lumpur ATC, causing the crew to misinterpret the instructions."
02/19/1989,12:10,"Corona, California",Air Taxi - Las Vegas Flyers Inc.,,"Las Vegas, NV - Santa Ana, CA",Cessna 402B,N69383,402B0527,10,10,0,"The accident occurred during a descent when the aircraft collided with a 2,060 ft. mountain. The pilot's failure to properly preflight and plan for flight and his intentional flight into imconditions. Pilots disregard for in-flight weather advisories. Factors contributing to the accident were the low ceiling conditions in conjunction with the mountainous terrain."
02/24/1989,02:09,"Honolulu, Hawaii",United Air Lines,811,Los Angeles - Honolulu - Auckland - Sidney,Boeing B-747-122,N4713U,19875/89,356,9,0,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched foward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff."
02/25/1989,,"Tegucigalpa, Honduras",Albancion Circulo,, - Tegucigalpa - Toncontin,Douglas DC-6,HR-AKZ,44642/586,10,10,0,Hit high ground 27 km from the airport.
02/28/1989,06:30,"Near QuebeCity, Quebec, Canada",Transfair,,,Douglas C-47A,C-FBZN,25290,2,2,0,The cargo plane crashed after its initial climb.
03/10/1989,12:09,"Dryden, Ontario, Canada",Air Ontario,1363,Dryden - Winnipeg,Fokker F-28 Fellowship 1000,C-FONF,11060,69,24,0,"While flying from Thunder Bay, Ontario to Winnipeg, Manitoba, the plane crashed on take-off from Dryden, Ontario. The aircraft failed to gain altitude, settled back down on the runway and then took off for a second time clipping the tops of  trees, causing debris to clog the engines leading to the plane crashing. The aircraft was being refueled with one engine running because of an unserviceable APU. Since no external power unit was available at the airport the engine could not be shut down and deicing could not be performed. The captain's decision to take off  in deteriorating weather conditions with an accumulation of snow and ice on the wings.  Decision not to de-ice the plane before taking off. The failure of the Canadian air transport system in placing the crew in a situation where they did not have the resources to make a proper decision."
03/10/1989,,"Lima, Peru",Aero Condor,,Sightseeing,Britten Norman BN-2A Trislander,OB-T-1271,0604,10,10,0,Crashed after striking radio tower while on approach.
03/18/1989,02:15,"Carswell AFB, Texas",Evergreen International Airlines,,"Fort Worth, TX - Oklahoma City, OK",McDonnell Douglas DC-9-33RC,N931F,47192/287,2,2,0,"The loss of control of the airplane for undetermined reasons following the in-flight opening of the improperly latched cargo door. Contributing to the accident were inadequate procedures used by Evergreen Airlines and approved by the FAA for pre-flight verification of external cargo door lock pin manual control handle, and the failure of McDonnell Douglas to provide flight crew guidance and emergency procedures for an in-flight opening of the cargo door. Also contributing to the accident was the failure of the FAA to mandate modification to the door-open warning system for DC-9 cargo-configured airplanes, given the previously known occurrences of in-flight door openings."
03/20/1989,07:00,"Pohang, South Korea",Military - U.S. Marine Corps,,,Sikorsky CH-53D,157140,,34,19,0,Crashed and burned in mountainous terrain during a troop lift mission. Came in for a landing at an extreme high bank until it crashed to the ground. Pilot error.
03/21/1989,11:55,"Guarulhos, Brazil",Transbrasil,,Manaus - Sao Paulo-Guarulhos,Boeing B-707-349C,PT-TCS,19354/503,3,3,18,The plane crashed into houses during a steep approach. Crew error. High speed approach. Deep stall. This was the Boeing 707 used in the movie 'Airport' in 1970.
04/10/1989,21:07,"Col de Tourniol, France",Europe Aero Service EAS,602,Paris - Valence,Fairchild FH-227B,F-GGDM,532,22,22,0,"After being cleared on a heading for Valence, the aircraft continued on its current heading until it struck a mountain at 4,100 feet. Crew error. Navigational error. Controlled flight into terrain."
04/19/1989,,"Near Cucuta, Colombia",SATENA,,Cucuta - Arauca,Pilatus PC-6 Turbo Porter,FAC-1110,819,11,11,0,Crashed while en route.
04/26/1989,,"Baranquilla, Colombia",Aerosucre Colombia,,Baranquilla - Bogota,Aérospatiale SE-210 Caravelle,HK-3325X,215,5,5,0,"Shifting of cargo after takeoff cause the plane to take a nose-high attitude, stall and crash into houses."
05/05/1989,,"Near Cancun, Mexico",Aero Cozumel,,Chichen Itza - Cozumel,Britten Norman BN-2A Trislander II,XA-JPE,1051,19,6,0,Crashed after the pilot radioed he was making an emergency landing with engine problems.
05/06/1989,01:45,"Columbia, Tennessee",Southern Express,,Memphis - Columbia,Embraer EMB-110 Bandeirante,N95PB,110330,2,1,0,The positioning flight crashed into trees short of the runway in dense fog. The pilot attempted to make a VFR landing in IFR conditions that were below minimums for the published instrument approach and collided with trees and the ground after allowing the airplane to descend below the proper altitude.
05/08/1989,09:40,"Oskarshamn, Sweden",Holmstoem Air,,Stockholm - Oskarshamn,Beechcraft 99,SE-IZO,U048,16,16,0,"While on approach the plane pitched up, went into a steep dive and crashed short of the runway. Aircraft improperly loaded causing a shift in the center of gravity."
05/09/1989,,"Near Tainjin, China",Aero Asahi,,,Bell 412,JA9596,33070,,10,0,
06/07/1989,04:27,"Near Paramaribo, Surinam",Surinam Airways,764,Paramaribo - Zanderij,McDonnell Douglas DC-8 Super 62,N1809E,46107/498,187,176,0,The aircraft hit a tree and crashed during a third landing attempt in fog. The crew descended below the published minimum altitude. Despite concerns about possible landing equipment failures the crew was determined to make a landing and not divert to another airport as they were running out of fuel. They could not get an ILS signal and ignored a Ground Proximity Warning System alarm 60 seconds prior to the crash by turning it off 10 seconds after it started its warning. About 20 members from the Dutch soccer team 'Colorful 11' from Surinam were killed.
06/11/1989,10:15,"Vereda el Salitre, Colombia",Aerotaca,,El Yopal - Tame,de Havilland Canada DHC-6 Twin Otter 300,HK-2486,676,22,6,0,Crashed into a mountain.
06/11/1989,13:30,"Waipio Valley, Hawaii",SceniAir Tours,21,"Hilo, HI - Kahului, HI",Beechcraft H18,N34AP,BA-746,11,11,0,Crashed in a scenicanyon area near a waterfall. The pilots improper in-flight planning/decision to maneuver with insufficient altitude over or in a canyon area. Factors related to the accident were the terrain conditions and sceniair tour's lack of specifidirection to its pilots concerning safety procedures for sightseeing flights.
06/17/1989,08:28,"Berlin, Germany",Interflug,,Berlin - Moscow,Ilyushin IL-62MK,DDR-SEW,2850324,113,20,1,"The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator."
06/18/1989,13:20,"Zabol, Iran",Ariana Afghan Airlines,,Kabul - Zaranj,Antonov AN-26,YA-BAK,14104,39,6,0,A ramp door opened in flight causing loss of control of the aircraft. The plane crashed into a hill.
06/22/1989,17:40,"Near Tarma, Peru",Fuerza Aérea del Peru,,San Ramon - Captain Alvarino,de Havilland Canada DHC-5D Buffalo,FAP-329,329,62,62,0,Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.
06/27/1989,,"Kaohsiung, Taiwan",Formosa Airlines,,Kaohsiung - Chi-mei,Cessna 404 Titan Courier II,B-12206,404-0418,13,12,0,Crashed into houses on takeoff and exploded.
06/28/1989,21:19,"Yaounde,  Cameroon",Cameroon Airlines,,Douala - Yaounde,Hawker Siddeley HS-748-435 Srs. 2,TJ-CCF,1804,47,3,0,"The plane landed short of the runway on the third landing attempt, overran the runway and collided with an embankment."
06/28/1989,09:30,"Near Borana, Somalia",Somali Airlines,,Hargeisa - Mogadishu,Fokker F-27 Friendship 600RF,6O-SAZ,10559,30,30,0,Crashed after takeoff.  Shot down by a surface-to-air missile.
06/29/1989,00:04,"Cartersville, Georgia",Calair,,"Carterville, GA  - Montgomery, AL",Dassault Falcon 20,N125CA,208,2,2,0,"Unable to gain altitude the positioning flight struck powerlines and crashed. Failure of the pilot-in-command  to assure that the aircraft maintained a climb profile after takeoff. Factors related to the accident were: dark night, the crew's lack of visual perception at night, the PIC's lack of rest (fatigue) and the copilot's failure to attain remedial action."
07/19/1989,07:17,"Glen Burnie, Maryland",Air Taxi - Centre Airlines Inc.,,"Baltimore, MD - Winchester, VA",Beech E18S,N138JR,,5,2,0,"Shortly after departing from runway 15l at the Baltimore-Washington International Airport, the pilot transmitted that he had an emergency consisting of a fire under his side panel. He reported he was going to circle & land. According to witnesses, flames & smoke were in the cockpit area. The aircraft started a gradual descent during a left turn. Subsequently, it crashed into a house."
07/19/1989,16:00,"Sioux City, Iowa",United Air Lines,232,"Denver, CO - Chicago, IL",McDonnell Douglas DC-10-10,N1819U,46618,298,112,0,"Catastrophifailure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage.The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulisystems. Subject of the 1992 TV-movie 'Crash Landing: The Rescue of Flight 232.'"
07/19/1989,11:02,"Talourow Island, USSR",Aeroflot,,Observation flight out of Cape Schmidt,Antonov AN-26,CCCP-26685,8805,10,10,0,Crashed into costal cliffs while on an ice observation flight.
07/21/1989,,"Porgera, New Guinea",Talair,,,de Havilland Canada DHC-6 Twin Otter 300,P2-RDW,366,22,3,0,Crashed into jungle shortly after taking off.
07/21/1989,15:23,"Manila, Philippines",Philippine Air Lines,,Zamboanga - Manila,BAC One-Eleven 516FP,RP-C1193,231,98,1,8,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars."
07/23/1989,,"Near Jalalabad, Afghanistan",Military - Afghan Republican Air Force,,,Mil Mi-8 / Mil Mi-8,,,30,30,0,Mid-air collision between two helicopters.
07/26/1989,,"Near Chana, Angola",Military - Angolan Air Force,,Luena - Cazombo,Antonov AN-26,,,48,42,0,Shot down either by rebel forces or friendly fire. A missile struck one of the engines and the plane crashed while attempting an emergency landing.
07/27/1989,07:00,"Tripoli, Libya",Korean Airlines,803,Jeddah - Tripoli,McDonnell Douglas DC-10-30,HL-7328,47887/125,199,75,4,The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.
07/27/1989,,"Off Ullung Do, South Korea",Universal Airlines,,,Sikorsky S-58T,,,19,13,0,Crashed into the sea.
07/31/1989,22:00,"Auckland, New Zealand",Air Freight New Zealand,1,Auckland - Christchurch,Convair CV-580,ZK-FTB,180,3,3,0,The cargo lost altitude shortly after lifting off and crashed and broke up in  Manukau Harbor. The training captain's failure to monitor the aircraft's climb flight path during the critical stage of the climb after take-off.
08/03/1989,13:43,"Samos, Greece",OlympiAviation,,Thessaloniki - Samos,Shorts 330-200,SX-BGE,SH-3083,34,34,0,Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.
08/07/1989,12:10,"Near Gambela, Ethiopia",RRC Air Service,,Addis Ababa - Bole,de Havilland DHC-6 Twin Otter 300,ET-AIL,699,16,16,0,"The aircraft took off from Addis Ababa to see how much food was reaching the famine-stricken area of western Ethiopia.  The plane crashed into a mountain in poor weather conditons at an altitude of  3,600 feet.  The crew flew into an area of bad weather at a very low altitude and failed to maintain visual contact with the ground.  U.S. Representative George Thomas 'Mickey' Leland, 45, killed."
08/08/1989,10:35,"Near Midford Sound, New Zealand",Aspring Air,,Wanaka - Milford Sound,Britten-Norman BN-2A-26 Trislander,ZK-EVK,0583,10,10,0,Crashed into the face of a mountain. Undetermined.
